is_hit,retrieved,expected,query
True,"['4f8ef329-e35d-4287-b4ac-1dbff461676e', '4c728539-cf1d-464a-8852-86edec592ce0', 'ced704ed-0cf9-4588-9c1b-200810a8fc83', '06de0e2a-45e4-4c62-bf6c-edb98792c115', '5539d96c-3815-434a-89aa-bc5babc41423']",06de0e2a-45e4-4c62-bf6c-edb98792c115,f86741b9-beaa-4b04-929c-d12370685f39
True,"['14e815c3-0b17-427e-9bfd-0a6177800332', '4ca9eedc-e453-40f9-8989-837607b8540d', '5f4a9370-701a-4b50-8b13-e844d396906f', '4e4c99ef-650b-42b8-9343-d2582fba0e4b', '410c5ad5-9d73-46e4-aad4-a2fd5b1d1659']",14e815c3-0b17-427e-9bfd-0a6177800332,a0bca474-4e4a-4b99-95e2-c1099cb56ccf
True,"['2bef7fc5-cee1-4808-bec7-7b50b2651b4e', '06de0e2a-45e4-4c62-bf6c-edb98792c115', 'ced704ed-0cf9-4588-9c1b-200810a8fc83', 'c7dcd565-0940-48bc-b342-a9bae14cf375', '856bdf1d-b1dd-4cd1-b95f-3e0c32541757']",2bef7fc5-cee1-4808-bec7-7b50b2651b4e,81cdc2f6-b57e-469c-9446-418a97ecd3c2
True,"['ced704ed-0cf9-4588-9c1b-200810a8fc83', '5539d96c-3815-434a-89aa-bc5babc41423', '4f8ef329-e35d-4287-b4ac-1dbff461676e', '20e054de-778e-42b0-93cc-716a23469143', '3e5ebdce-5373-436a-b7ec-8490b954a1fe']",ced704ed-0cf9-4588-9c1b-200810a8fc83,e1199c14-e0c7-4704-98ec-a693de8e3b34
True,"['b19004e8-c590-436d-b512-5c7c1c8755ee', '9406c77b-98f9-4767-8927-87ed87f08895', 'f2598270-612f-4dbe-a45f-448bb4621d05', '14e815c3-0b17-427e-9bfd-0a6177800332', '5f4a9370-701a-4b50-8b13-e844d396906f']",b19004e8-c590-436d-b512-5c7c1c8755ee,988a16e4-3c4d-4dfb-9c08-5d8409c1694c
True,"['9406c77b-98f9-4767-8927-87ed87f08895', '1432040c-6bce-49ea-92ba-d1601e8a9157', '14e815c3-0b17-427e-9bfd-0a6177800332', 'f2598270-612f-4dbe-a45f-448bb4621d05', 'b19004e8-c590-436d-b512-5c7c1c8755ee']",9406c77b-98f9-4767-8927-87ed87f08895,45c32ff2-164b-4766-b919-63e8e0fc1792
True,"['1432040c-6bce-49ea-92ba-d1601e8a9157', '14e815c3-0b17-427e-9bfd-0a6177800332', '4e4c99ef-650b-42b8-9343-d2582fba0e4b', 'f2598270-612f-4dbe-a45f-448bb4621d05', '9406c77b-98f9-4767-8927-87ed87f08895']",1432040c-6bce-49ea-92ba-d1601e8a9157,d4512b55-d3f8-43ce-9b95-df46b2a819c3
True,"['2011f212-65f2-416a-9b8e-609294270d70', 'ad98de7a-d0a4-46ad-bad0-dcfb36c272ba', 'c11495cc-d1f2-4179-a9a4-32e029132427', 'd66fcef0-bfd2-4574-bf83-8c1f3105f017', '248f4ed5-0fdc-4900-8447-88b2613518d8']",2011f212-65f2-416a-9b8e-609294270d70,63bab84c-c2f1-4446-ab5f-fe1675af3849
True,"['4e4c99ef-650b-42b8-9343-d2582fba0e4b', '14e815c3-0b17-427e-9bfd-0a6177800332', '1432040c-6bce-49ea-92ba-d1601e8a9157', 'f2598270-612f-4dbe-a45f-448bb4621d05', 'dd584ca7-a021-4aa3-a992-d841f51fd2ac']",4e4c99ef-650b-42b8-9343-d2582fba0e4b,c03dc9d1-bf68-4abe-ae12-3c5dd4dab109
True,"['f2598270-612f-4dbe-a45f-448bb4621d05', '1432040c-6bce-49ea-92ba-d1601e8a9157', '9406c77b-98f9-4767-8927-87ed87f08895', '14e815c3-0b17-427e-9bfd-0a6177800332', 'b19004e8-c590-436d-b512-5c7c1c8755ee']",f2598270-612f-4dbe-a45f-448bb4621d05,e1fe1fb9-facd-443b-bbbd-80e6902ff1bf
True,"['124a9c41-c27c-4fd3-854e-f9cda8d2e365', '4ca9eedc-e453-40f9-8989-837607b8540d', '5f4a9370-701a-4b50-8b13-e844d396906f', '410c5ad5-9d73-46e4-aad4-a2fd5b1d1659', '856bdf1d-b1dd-4cd1-b95f-3e0c32541757']",124a9c41-c27c-4fd3-854e-f9cda8d2e365,bf165769-e1ce-4714-b559-0878391265a9
True,"['856bdf1d-b1dd-4cd1-b95f-3e0c32541757', 'ced704ed-0cf9-4588-9c1b-200810a8fc83', '124a9c41-c27c-4fd3-854e-f9cda8d2e365', '4ca9eedc-e453-40f9-8989-837607b8540d', '4f8ef329-e35d-4287-b4ac-1dbff461676e']",856bdf1d-b1dd-4cd1-b95f-3e0c32541757,8c8d834d-29be-4047-bcbe-2580c7b891b7
True,"['dd584ca7-a021-4aa3-a992-d841f51fd2ac', '506a7540-a9b4-49ec-a3ee-de1782ddc97e', 'f2598270-612f-4dbe-a45f-448bb4621d05', 'b3dc606f-ec33-449a-a746-2e6d0d739a5f', '4e4c99ef-650b-42b8-9343-d2582fba0e4b']",dd584ca7-a021-4aa3-a992-d841f51fd2ac,0f0201ad-ccd0-4956-a038-9e7d872fcfc7
True,"['06c06d2e-5831-45a3-abb9-96c0409295e3', 'e1ca99ea-f07e-4cb7-a3f8-6c4f5d3a6fcb', '9b490e46-6640-4279-a4bb-8a465fbc6605', '4ca9eedc-e453-40f9-8989-837607b8540d', '5f4a9370-701a-4b50-8b13-e844d396906f']",06c06d2e-5831-45a3-abb9-96c0409295e3,12845798-55dc-42f5-8629-a026bab48f68
True,"['410c5ad5-9d73-46e4-aad4-a2fd5b1d1659', '4ca9eedc-e453-40f9-8989-837607b8540d', '5f4a9370-701a-4b50-8b13-e844d396906f', '506a7540-a9b4-49ec-a3ee-de1782ddc97e', '9b490e46-6640-4279-a4bb-8a465fbc6605']",410c5ad5-9d73-46e4-aad4-a2fd5b1d1659,1666a303-e47d-42c3-a408-523f89bb71e4
True,"['5f4a9370-701a-4b50-8b13-e844d396906f', '4ca9eedc-e453-40f9-8989-837607b8540d', '124a9c41-c27c-4fd3-854e-f9cda8d2e365', '410c5ad5-9d73-46e4-aad4-a2fd5b1d1659', '856bdf1d-b1dd-4cd1-b95f-3e0c32541757']",5f4a9370-701a-4b50-8b13-e844d396906f,70614b80-e208-4366-8281-12e0cb9f5e5c
True,"['e1ca99ea-f07e-4cb7-a3f8-6c4f5d3a6fcb', 'b3dc606f-ec33-449a-a746-2e6d0d739a5f', '05e08951-5de4-4c82-a17b-df1b534aa8a1', 'ced704ed-0cf9-4588-9c1b-200810a8fc83', '9b490e46-6640-4279-a4bb-8a465fbc6605']",e1ca99ea-f07e-4cb7-a3f8-6c4f5d3a6fcb,7d7211db-070f-49b2-947a-d2300471fd31
True,"['506a7540-a9b4-49ec-a3ee-de1782ddc97e', 'b3dc606f-ec33-449a-a746-2e6d0d739a5f', '424ae309-877b-4a31-8c24-284b9b9d3623', '9b490e46-6640-4279-a4bb-8a465fbc6605', '2da344bd-4561-4516-8850-6da8db27ed8f']",506a7540-a9b4-49ec-a3ee-de1782ddc97e,58dc307b-f28b-4d7f-a631-2640c6ffe97c
True,"['9b490e46-6640-4279-a4bb-8a465fbc6605', '5f4a9370-701a-4b50-8b13-e844d396906f', '410c5ad5-9d73-46e4-aad4-a2fd5b1d1659', '506a7540-a9b4-49ec-a3ee-de1782ddc97e', '06c06d2e-5831-45a3-abb9-96c0409295e3']",9b490e46-6640-4279-a4bb-8a465fbc6605,5b619c56-1c75-4138-bcd7-1275663df868
True,"['05e08951-5de4-4c82-a17b-df1b534aa8a1', 'b3dc606f-ec33-449a-a746-2e6d0d739a5f', 'e1ca99ea-f07e-4cb7-a3f8-6c4f5d3a6fcb', '506a7540-a9b4-49ec-a3ee-de1782ddc97e', '4ca9eedc-e453-40f9-8989-837607b8540d']",05e08951-5de4-4c82-a17b-df1b534aa8a1,832717fc-5e88-4e1b-a257-eb82ddf86d7a
True,"['7dc0e7cf-9ac8-4d5a-afb4-3b097fb32be5', '00518ddb-2807-4915-9476-26ef5140ea82', '5f4a9370-701a-4b50-8b13-e844d396906f', '9b490e46-6640-4279-a4bb-8a465fbc6605', '5d40fb64-e13f-48c2-81c8-6f4ae7d27f71']",7dc0e7cf-9ac8-4d5a-afb4-3b097fb32be5,1b99d7c3-74a3-45fe-a9c8-e64b6d3aa978
True,"['b3dc606f-ec33-449a-a746-2e6d0d739a5f', '05e08951-5de4-4c82-a17b-df1b534aa8a1', '506a7540-a9b4-49ec-a3ee-de1782ddc97e', '9b490e46-6640-4279-a4bb-8a465fbc6605', '410c5ad5-9d73-46e4-aad4-a2fd5b1d1659']",b3dc606f-ec33-449a-a746-2e6d0d739a5f,fbadf5ad-b190-4033-b0b5-b1507674a055
True,"['4ca9eedc-e453-40f9-8989-837607b8540d', '5f4a9370-701a-4b50-8b13-e844d396906f', '124a9c41-c27c-4fd3-854e-f9cda8d2e365', '410c5ad5-9d73-46e4-aad4-a2fd5b1d1659', '856bdf1d-b1dd-4cd1-b95f-3e0c32541757']",4ca9eedc-e453-40f9-8989-837607b8540d,f2eedf48-4924-4d2a-bd85-e51c3873dd34
True,"['c7dcd565-0940-48bc-b342-a9bae14cf375', '9dc29eef-9190-40b7-9d96-7f95a92fae01', '2bef7fc5-cee1-4808-bec7-7b50b2651b4e', 'db98812f-58f9-4b67-bcd5-c60136c79131', '856bdf1d-b1dd-4cd1-b95f-3e0c32541757']",c7dcd565-0940-48bc-b342-a9bae14cf375,4d26ace4-1783-446d-b12b-4e0ffc52f386
True,"['fff3d142-386f-40d5-875d-d0521282c025', 'cd3fe651-99c1-46b7-9616-f87b4019e6ec', '160cb020-5b3a-4aa0-a500-a79cd24f852c', 'ba711941-145b-459b-9ecd-93f472d6b3e7', 'e8a547c7-4e2e-4035-b17c-12cd128042f8']",cd3fe651-99c1-46b7-9616-f87b4019e6ec,257a4c49-a69b-40d0-a3b2-7f59d74aaa2d
False,"['5d541397-0033-486d-958d-3a9583efa9e4', 'c23794ed-d89d-4678-b5ae-88a7c786c0e7', '160cb020-5b3a-4aa0-a500-a79cd24f852c', '9d6b0dc2-a6f7-4a48-9fa6-080abb842ab0', '7d59247a-0b7d-4ac8-80b3-26257caa1a7f']",978f2a3c-5b66-4c08-bf6c-45ae78256c6a,8e9f8854-1862-4c5f-9440-e6cf9472c561
False,"['10e787e3-67c7-41ef-93ee-32608ed76c2f', 'ef9a1886-3f9b-4b9c-ae65-24526c1a275b', '04c4c3e5-ef70-4687-909a-4a04ef6674ef', 'd545e9f3-2efc-4c18-926d-37f483c8467d', 'bd72b907-bb8c-48da-96f6-427544f2638a']",ca93065d-d90f-42c6-bcb3-eca8e6fb5534,33ff4d8c-3b90-4da3-9453-4bcda4dcd4d5
True,"['94c93adb-2204-406e-80f6-8657254852f9', 'b0ea0638-c2b6-449d-9bd4-af65d0e2d1a2', 'f82f4e2b-1a55-49d8-934a-329ecba43c48', '86709dae-5fbe-43b7-9b45-d2bc648d1227', 'a39f8c25-a265-4423-8142-103e1eb4a993']",f82f4e2b-1a55-49d8-934a-329ecba43c48,3dc28271-b604-4f79-9701-9c904ef9157e
True,"['5d40fb64-e13f-48c2-81c8-6f4ae7d27f71', '75042b50-fa58-43a6-baa9-422dcfd7ea93', '599ab531-a53e-4d41-b210-1f7be354b9f9', 'bad7afe8-c497-47f7-9538-8527c5c11492', '2f05183d-87a5-4005-a43f-db61fb87fcb2']",5d40fb64-e13f-48c2-81c8-6f4ae7d27f71,7335c539-c82b-4bcf-8557-0e2d00e67af8
False,"['839c003c-16ad-43a2-a179-cb2894df288d', '4c0d235c-2178-408f-ae6d-50430cbb36d4', '50332787-9209-40a4-9cb4-6e6437d0ab08', '160cb020-5b3a-4aa0-a500-a79cd24f852c', '39cf3b5d-ec83-4001-91a1-fe5cb5d05375']",2d4c9ed8-93d2-4db6-9a45-298d75839297,a0fe1dbb-b9b2-4cd5-83e1-3f4b10362501
True,"['10575c53-c4e9-4c5c-b4b4-fc6152e9d956', '81898f6f-edb1-4973-b15f-fd5869229a64', 'c3235681-4646-47c2-bd67-dad6c1e51517', 'b95c24fd-20f3-40ba-bf9d-d59c494d0d66', '88145294-cb78-4e6f-a320-8f94ac2b8389']",10575c53-c4e9-4c5c-b4b4-fc6152e9d956,3237206c-09a3-4510-b4ea-6dc3fcee910c
True,"['00518ddb-2807-4915-9476-26ef5140ea82', '90372454-78e4-42c9-9911-13c31c814101', '24e6ec1b-8cfa-46bb-b56a-7e16fef809f3', 'b17f0ffd-260b-497c-91bf-5eb26d7e44c8', '1ea1b8e9-1e96-4595-8026-6202d70bf1cb']",00518ddb-2807-4915-9476-26ef5140ea82,252f75c5-06a0-46fb-b7ae-c437fe7adb62
False,"['5d541397-0033-486d-958d-3a9583efa9e4', '839c003c-16ad-43a2-a179-cb2894df288d', '160cb020-5b3a-4aa0-a500-a79cd24f852c', 'bb32f223-973e-47a1-9990-c1969a90f06c', '9d6b0dc2-a6f7-4a48-9fa6-080abb842ab0']",f8991446-67e2-4e0c-b2a6-d9942cecd6b2,5e61c96b-0621-4adf-a26b-c61050fa1aff
False,"['f82f4e2b-1a55-49d8-934a-329ecba43c48', '53c0d0d5-c19a-4e0c-93f6-e540e53cac42', '4f8ef329-e35d-4287-b4ac-1dbff461676e', '4c728539-cf1d-464a-8852-86edec592ce0', 'd93e0f38-74d6-4671-9ec3-692009e79565']",839c003c-16ad-43a2-a179-cb2894df288d,0b6e03b5-0d97-4796-b99c-1e0e5a9ebbde
True,"['ef9a1886-3f9b-4b9c-ae65-24526c1a275b', 'ee7a6d4e-ac5c-4c2d-bf58-af5ea8f6f1da', '04c4c3e5-ef70-4687-909a-4a04ef6674ef', 'ca93065d-d90f-42c6-bcb3-eca8e6fb5534', '53c0d0d5-c19a-4e0c-93f6-e540e53cac42']",ef9a1886-3f9b-4b9c-ae65-24526c1a275b,b7242b23-93e1-4307-a0eb-22e09c8702ff
True,"['c33affa4-3386-4629-8b6c-65b6a3da6681', '1d9d92f8-5443-4b10-8946-f12ac32ead30', '839c003c-16ad-43a2-a179-cb2894df288d', 'a045e307-fe13-40f8-b0ba-ae95f04909c7', '2007718f-9c82-42c5-91cd-5b3f352ccd3b']",c33affa4-3386-4629-8b6c-65b6a3da6681,a7360f9b-c01e-4c93-834c-29b836bdfedf
True,"['08a36ccf-61df-4761-b0bc-abbdc9986a4c', '1667abde-6bb7-42ed-97b6-5a7d5fe49198', '85c923c0-5835-456e-a4c7-9a3822eff4dd', 'e4782eb5-475b-4fec-9eab-9b7dfbbb2a5a', '7f4803a2-2610-4d99-8f16-b48af31a320b']",08a36ccf-61df-4761-b0bc-abbdc9986a4c,c7839aab-285a-4899-a804-b55e3c4ec32e
True,"['e02cdcc7-dc0d-410b-861d-a6ddc5d4f7e7', '42ec4514-8f0b-4dcf-9b88-3c856e559a5f', 'bd72b907-bb8c-48da-96f6-427544f2638a', 'a989c01f-e419-4bda-847c-11901f50f19d', 'ef9a1886-3f9b-4b9c-ae65-24526c1a275b']",e02cdcc7-dc0d-410b-861d-a6ddc5d4f7e7,93843f00-a2a3-44cd-a586-ce7f2aaec225
True,"['42ec4514-8f0b-4dcf-9b88-3c856e559a5f', 'e02cdcc7-dc0d-410b-861d-a6ddc5d4f7e7', 'b8d32983-dd3d-42af-99f5-559ee9d64312', '1667abde-6bb7-42ed-97b6-5a7d5fe49198', '24e6ec1b-8cfa-46bb-b56a-7e16fef809f3']",42ec4514-8f0b-4dcf-9b88-3c856e559a5f,2ec13a47-dca7-4085-b25b-3f65aac7d05b
True,"['bee12dfc-922c-4a6d-b13a-7177c4360aed', 'e53ae75f-929c-4d48-8747-60a8fdc1aa41', '08a36ccf-61df-4761-b0bc-abbdc9986a4c', '42ec4514-8f0b-4dcf-9b88-3c856e559a5f', '85c923c0-5835-456e-a4c7-9a3822eff4dd']",bee12dfc-922c-4a6d-b13a-7177c4360aed,5c2e1f8e-72fe-4004-afdb-e449a9e84ced
True,"['07cf0010-b860-4db6-933c-74eacd8644fc', 'de34dfe2-c9cf-404d-bec5-019eba528bac', 'b363fec9-71f5-4e4e-b9f2-f4070f3486c0', 'ca93065d-d90f-42c6-bcb3-eca8e6fb5534', 'd66fcef0-bfd2-4574-bf83-8c1f3105f017']",07cf0010-b860-4db6-933c-74eacd8644fc,20f4e896-9e29-493d-a282-27b08e7ff39c
True,"['583d0309-df46-4078-bf7f-a7f692969f6b', '40cde3de-030a-4a9d-a753-0a41204f656a', 'afd16e18-de2d-43a6-ba68-61b01edcd1fd', 'ccd20fa2-749f-4315-aa9d-500605c634e2', '1932e611-a548-4816-8aa3-674cf776e342']",583d0309-df46-4078-bf7f-a7f692969f6b,15a51382-1a77-4aae-bf95-ee0ee78fdd4d
False,"['839c003c-16ad-43a2-a179-cb2894df288d', 'ca93065d-d90f-42c6-bcb3-eca8e6fb5534', 'ef9a1886-3f9b-4b9c-ae65-24526c1a275b', '160cb020-5b3a-4aa0-a500-a79cd24f852c', '978f2a3c-5b66-4c08-bf6c-45ae78256c6a']",ed070384-b672-4c56-96bf-cb0891cf6114,734d8582-7165-433d-80d2-89056f3f7356
True,"['bd72b907-bb8c-48da-96f6-427544f2638a', 'e02cdcc7-dc0d-410b-861d-a6ddc5d4f7e7', '07cf0010-b860-4db6-933c-74eacd8644fc', 'fcd02375-dd97-4f4a-bceb-9f5b1caf8c9f', 'ab94f19f-8152-4ca4-ae8b-fe6b3db16913']",bd72b907-bb8c-48da-96f6-427544f2638a,cf332343-64c9-469a-be10-f8b572e7bf60
True,"['8fba4d61-65a1-41a3-bbd2-5a1904c0c0b8', '10e787e3-67c7-41ef-93ee-32608ed76c2f', 'fcd02375-dd97-4f4a-bceb-9f5b1caf8c9f', '488a4436-3288-4e52-9179-fa4f1aa311aa', '40e62695-e230-44d9-ae8f-d158d117810e']",8fba4d61-65a1-41a3-bbd2-5a1904c0c0b8,84118496-1880-40fe-975d-960239f182c0
False,"['5d541397-0033-486d-958d-3a9583efa9e4', '29fc1422-7307-470e-ad0b-0fd944263026', '8cf9a463-b9e7-41ed-b295-6b80582268a7', 'bb32f223-973e-47a1-9990-c1969a90f06c', 'c23794ed-d89d-4678-b5ae-88a7c786c0e7']",50332787-9209-40a4-9cb4-6e6437d0ab08,9dc2456b-3ec6-4b08-8427-960632582921
True,"['10e787e3-67c7-41ef-93ee-32608ed76c2f', '8fba4d61-65a1-41a3-bbd2-5a1904c0c0b8', '59a536b6-8cae-422e-9361-d5091eae006a', 'fcd02375-dd97-4f4a-bceb-9f5b1caf8c9f', '2760d89b-c8a5-4c53-a5ba-af8c85273581']",10e787e3-67c7-41ef-93ee-32608ed76c2f,2f0f2fdd-cec3-4199-b597-a352f54a7226
True,"['2760d89b-c8a5-4c53-a5ba-af8c85273581', '95a0ebd6-8d50-48ef-882f-0148c83a7c72', '10e787e3-67c7-41ef-93ee-32608ed76c2f', '30fb47d0-c1e5-4424-a02c-65228ac09b0a', '25b14fed-ab75-4614-8b90-28ae2ca9bd78']",2760d89b-c8a5-4c53-a5ba-af8c85273581,adb0ee5f-41ff-4b60-987f-9eb05b80711d
True,"['e90ad56a-8ab0-4894-add1-df1d34f4353c', '3ec93c3c-13e8-4dec-92d6-9450712e2e8a', 'f09b68ae-f25e-49eb-80c7-ae1cd5bc6281', '1f96bf71-d546-4827-ae8f-cf4f61002789', '04efa80c-ae13-459d-8ad4-e07ecd0b68d6']",e90ad56a-8ab0-4894-add1-df1d34f4353c,8cd4b7a1-d06e-487b-82b7-6a01fb650239
False,"['839c003c-16ad-43a2-a179-cb2894df288d', '4c0d235c-2178-408f-ae6d-50430cbb36d4', '50332787-9209-40a4-9cb4-6e6437d0ab08', '160cb020-5b3a-4aa0-a500-a79cd24f852c', '39cf3b5d-ec83-4001-91a1-fe5cb5d05375']",fff3d142-386f-40d5-875d-d0521282c025,b914f50b-fe6e-4096-8d59-1c638aebef4a
True,"['ee7a6d4e-ac5c-4c2d-bf58-af5ea8f6f1da', '10e787e3-67c7-41ef-93ee-32608ed76c2f', '2760d89b-c8a5-4c53-a5ba-af8c85273581', 'ef9a1886-3f9b-4b9c-ae65-24526c1a275b', 'ccb98ef3-451d-464e-908b-bab10d63612f']",ee7a6d4e-ac5c-4c2d-bf58-af5ea8f6f1da,cda137c8-a5c3-4f7e-9ecb-04d6ef66ee08
True,"['424ae309-877b-4a31-8c24-284b9b9d3623', 'de34dfe2-c9cf-404d-bec5-019eba528bac', 'c33affa4-3386-4629-8b6c-65b6a3da6681', '34efa1ed-100b-4721-84ba-eeb0a4478f99', '40cde3de-030a-4a9d-a753-0a41204f656a']",424ae309-877b-4a31-8c24-284b9b9d3623,c2314f14-e748-412a-9362-10117b2acc56
True,"['8c43a354-3185-40aa-b942-32b0f85cfca6', 'edd5686a-4c99-4be3-a98f-cb8ea977a72f', 'c22b6b7b-6b4e-4048-a9c6-7f9bdd3d04c1', 'ca93065d-d90f-42c6-bcb3-eca8e6fb5534', '9fd6665d-5804-4457-98ee-4a8130ebb337']",8c43a354-3185-40aa-b942-32b0f85cfca6,b9b66344-6447-4023-8d9f-b4a68ca4ba4e
True,"['de34dfe2-c9cf-404d-bec5-019eba528bac', '59a536b6-8cae-422e-9361-d5091eae006a', '1f96bf71-d546-4827-ae8f-cf4f61002789', '2e276f14-18c5-4350-a6c6-0b123e4f06e2', '8f9b5790-aee1-47c0-84d4-832667600849']",de34dfe2-c9cf-404d-bec5-019eba528bac,998e4c2f-3b41-4d76-a7bd-d4826a7e100e
True,"['53c0d0d5-c19a-4e0c-93f6-e540e53cac42', 'c0555b21-daa8-4db1-94b3-74c6ca185312', '04c4c3e5-ef70-4687-909a-4a04ef6674ef', 'bfbfb58d-7919-4e41-931a-f280384303af', 'd545e9f3-2efc-4c18-926d-37f483c8467d']",53c0d0d5-c19a-4e0c-93f6-e540e53cac42,ac2a904b-623c-4259-ad81-d3d359903223
True,"['04c4c3e5-ef70-4687-909a-4a04ef6674ef', 'd545e9f3-2efc-4c18-926d-37f483c8467d', 'ef9a1886-3f9b-4b9c-ae65-24526c1a275b', '53c0d0d5-c19a-4e0c-93f6-e540e53cac42', 'ca93065d-d90f-42c6-bcb3-eca8e6fb5534']",04c4c3e5-ef70-4687-909a-4a04ef6674ef,f5bdead5-3480-4834-bed8-02f188e9863b
True,"['bfbfb58d-7919-4e41-931a-f280384303af', 'd93e0f38-74d6-4671-9ec3-692009e79565', 'f71c5f78-546b-4db9-ba08-f18ea161d9cd', '53c0d0d5-c19a-4e0c-93f6-e540e53cac42', '3e629976-b15d-4ef5-8fb2-aca622ef08a6']",bfbfb58d-7919-4e41-931a-f280384303af,8550a928-c2b0-4f35-abb1-8e9334c817e7
